BTS SERVICES INFORMATIQUES AUX ORGANISATIONS;;;;;;SESSION 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tableau de synthèse des réalisations professionnelles ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOM et prénom : Semery Mathis;;;;;N° candidat : ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre de formation :Lycée et UFA Robert Schuman;;;;;Option :;▢ SISR;☒ SLAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adresse URL du portfolio :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Compétences mises en œuvre





















Réalisations professionnelles
(intitulé et liste des documents et productions associés)";Période (sous la forme du JJ/MM/AA au JJ/MM/AA);Gérer le patrimoine informatique;Répondre aux incidents et aux demandes d’assistance et d’évolution;Développer la présence en ligne de l’organisation;Travailler en mode projet;Mettre à disposition des utilisateurs un service informatique;Organiser son développement professionnel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"▸Recenser et identifier les ressources numériques 
▸Exploiter des référentiels, normes et standards adoptés par le prestataire informatique
▸Mettre en place et vérifier les niveaux d’habilitation associés à un service
▸Vérifier les conditions de la continuité d’un service informatique
▸Gérer des sauvegardes
▸Vérifier le respect des règles d’utilisation des ressources numériques";"▸Collecter, suivre et orienter des demandes 
▸Traiter des demandes concernant les services réseau et système, applicatifs
▸Traiter des demandes concernant les applications";"▸Participer à la valorisation de l’image de l’organisation sur les médias numériques en tenant compte du cadre juridique et des enjeux économiques
▸Référencer les services en ligne de l’organisation et mesurer leur visibilité.
▸Participer à l’évolution d’un site Web exploitant les données de l’organisation.";"▸Analyser les objectifs et les modalités d’organisation d’un projet
▸Planifier les activités
▸Évaluer les indicateurs de suivi d’un projet et analyser les écarts";"▸Réaliser les tests d’intégration et d’acceptation d’un service
▸Déployer un service
▸Accompagner les utilisateurs dans la mise en place d’un service";"▸Mettre en place son environnement d’apprentissage personnel
▸Mettre en œuvre des outils et stratégies de veille informationnelle
▸Gérer son identité professionnelle
▸Développer son projet professionnel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Réalisation en cours de formation

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuit de l'informatique 2024 ;05/10/2024 au 05/10/2024;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-Morpion (java);12/10/2024 au 12/10/2024;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionHotel (java);23/01/2025 au 23/01/2025;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionZoo (java);18/02/2025 au 6/03/2025;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionCinéma (php);11/12/2024 au 07/01/2025;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionAréoport (symfony);19/03/2025 au 09/05/2025;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionDeListes (javaFx);06/03/2025 au 09/03/2025;X;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pojet HSP (symfony);09/09/2025 au  09/12/2025;x;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project HSP (JAVA FX);01/01/2026 au 31/03/2026;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réalisations en milieu professionnel en cours de première année;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projet-GestionEleve (symfony,php);03/06/2025 au 27/06/2025;X;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réalisations en milieu professionnel en cours de seconde année;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project Low code (Sail);;x;x;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;  ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
